Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
49902802,Este Livro Não Vai Te Deixar Rico,Startup da Real,"Real, Startup da",,"=""8542217527""","=""9788542217520""",4,4.36,Planeta Estratégia,Paperback,240,,2018,2020/03/15,2020/03/19,,,read,,,,1,,,0,,,,,
4934,The Brothers Karamazov,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Marta Rebón, Borut Kraševec, Larissa Volokhonsky, Fernando Otero, Marta Sánchez-Nieves","=""0374528373""","=""9780374528379""",0,4.33,"Farrar, Straus and Giroux",Paperback,796,2002,1879,,2020/02/23,to-read,to-read (#21),to-read,,,,0,,,0,,,,,
41217191,"Kill Six Billion Demons, Book 3: Seeker of Thrones",Tom Parkinson-Morgan,"Parkinson-Morgan, Tom",,"=""""","=""""",5,4.59,,ebook,147,2018,2018,,2018/10/13,,,read,,,,1,,,0,,,,,
37442,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,"Maguire, Gregory",Douglas Smith,"=""0060987103""","=""9780060987107""",5,3.54,William Morrow Paperbacks,Paperback,406,2000,1995,2018/04/22,2018/01/01,,,read,,,,2,,,0,,,,,
231804,The Outsiders,S.E. Hinton,"Hinton, S.E.",,"=""""","=""""",5,4.11,Puffin Books (US/CAN),Mass Market Paperback,192,1997,1967,2019/01/27,2018/02/20,,,read,,,,1,,,0,,,,,
31451186,Borne (Borne #1),Jeff VanderMeer,"VanderMeer, Jeff",,"=""0374115249""","=""9780374115241""",4,3.93,"MCD / Farrar, Straus and Giroux ",Hardcover,336,2017,2017,,2018/03/30,,,read,,,,1,,,0,,,,,
890,Of Mice and Men,John Steinbeck,"Steinbeck, John",,"=""0142000671""","=""9780142000670""",4,3.88,Penguin Books,Paperback,112,2002,1937,,2018/02/21,,,read,,,,1,,,0,,,,,
36576608,Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",,"=""""","=""""",5,4.17,,Paperback,216,,1959,2019/06/18,2018/11/07,,,read,,,,1,,,0,,,,,
17934530,Annihilation,Jeff VanderMeer,"VanderMeer, Jeff",,"=""0374104093""","=""9780374104092""",5,3.73,"Farrar, Straus and Giroux",Paperback,195,2014,2014,2019/11/24,2019/10/18,,,read,,,,1,,,0,,,,,
16902,Walden,Henry David Thoreau,"Thoreau, Henry David",,"=""""","=""""",4,3.77,Princeton University Press,Paperback,352,2004,1854,2019/12/11,2019/12/01,,,read,,,,1,,,0,,,,,
5113684,A Lógica do Cisne Negro,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""""","=""9788576842125""",2,3.95,Best Seller,Hardcover,458,2008,2007,,2019/12/11,,,read,,,,1,,,0,,,,,
28876,"His Majesty's Dragon (Temeraire, #1)",Naomi Novik,"Novik, Naomi",,"=""0345481283""","=""9780345481283""",4,4.03,Del Rey,Mass Market Paperback,356,2006,2006,2019/12/01,2019/09/10,,,read,,,,1,,,0,,,,,
305597,"Voluntary Simplicity: Toward a Way of Life That is Outwardly Simple, Inwardly Rich",Duane Elgin,"Elgin, Duane",,"=""0688121195""","=""9780688121198""",3,3.61,Harper Paperbacks,Paperback,240,1998,1981,2019/11/27,2019/11/26,,,read,,,,1,,,0,,,,,
36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,"Covey, Stephen R.",Jim Collins,"=""0743269519""","=""9780743269513""",4,4.14,Free Press,Paperback,372,2004,1988,,2017/12/31,,,read,,,,2,,,0,,,,,
368593,The 4-Hour Workweek,Timothy Ferriss,"Ferriss, Timothy",,"=""0307353133""","=""9780307353139""",4,3.91,Crown Business,ebook,308,2007,2007,,2019/11/23,,,read,,,,2,,,0,,,,,
61975,"Dragonflight (Dragonriders of Pern, #1)",Anne McCaffrey,"McCaffrey, Anne",,"=""0345484266""","=""9780345484260""",3,4.08,Del Rey,Paperback,299,2005,1968,2019/10/05,2019/09/10,,,read,,,,1,,,0,,,,,
43908,"Shadow of a Dark Queen (The Serpentwar Saga, #1)",Raymond E. Feist,"Feist, Raymond E.",,"=""0380720868""","=""9780380720866""",0,4.07,Avon Fantasy,Mass Market Paperback,497,1995,1994,,2019/10/05,to-read,to-read (#20),to-read,,,,0,,,0,,,,,
43917,"Rise of a Merchant Prince (The Serpentwar Saga, #2)",Raymond E. Feist,"Feist, Raymond E.",,"=""0006497012""","=""9780006497011""",0,4.07,Voyager,Paperback,479,1996,1995,,2019/10/05,to-read,to-read (#19),to-read,,,,0,,,0,,,,,
28257707,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Manson, Mark",,"=""""","=""""",2,3.92,Harper,ebook,224,2016,2016,2018/04/05,2018/04/04,,,read,,,,2,,,0,,,,,
8852,Macbeth,William Shakespeare,"Shakespeare, William",,"=""0743477103""","=""9780743477109""",4,3.90,Simon & Schuster,Paperback,249,2013,1606,2019/09/16,2018/02/21,,,read,,,,1,,,0,,,,,
35068705,"The Poppy War (The Poppy War, #1)",R.F. Kuang,"Kuang, R.F.",,"=""0062662597""","=""9780062662590""",0,4.09,Harper Voyager,ebook,531,2018,2018,,2019/09/10,to-read,to-read (#18),to-read,,,,0,,,0,,,,,
20723193,"PHP: The ""Right"" Way",Josh Lockhart,"Lockhart, Josh",Phil Sturgeon,"=""""","=""""",4,4.00,leanpub.com,ebook,46,2014,2014,2019/09/10,2019/08/23,,,read,,,,1,,,0,,,,,
28815,Influence: The Psychology of Persuasion,Robert B. Cialdini,"Cialdini, Robert B.",,"=""006124189X""","=""9780061241895""",4,4.19,Harper Business,Paperback,320,2006,1984,2019/08/24,2019/08/05,,,read,,,,1,,,0,,,,,
106835,The Intelligent Investor,Benjamin Graham,"Graham, Benjamin","Jason Zweig, Warren Buffett","=""0060555661""","=""9780060555665""",3,4.23,Harper Business,Paperback,623,2006,1949,2019/08/22,2019/07/12,,,read,,,,1,,,0,,,,,
37903770,Norse Mythology,Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",4,4.09,W. W. Norton & Company,Paperback,301,2018,2017,2019/08/10,2019/08/05,,,read,,,,1,,,0,,,,,
